newroi,oldroi,category,label,hemisphere
1,1,1,1,R
2,2,1, ,R
3,3,1, ,R
4,4,1, ,R
5,5,1, ,R
6,6,1, ,R
7,7,1, ,R
8,8,1, ,R
9,9,1, ,R
10,10,10,10,R
11,11,10, ,L
12,12,10, ,L
13,13,10, ,L
14,14,10, ,L
15,15,10, ,L
16,16,10, ,L
17,17,10, ,L
18,18,10, ,L
19,19,10, ,L
20,20,20,20,L
21,21,20, ,L
22,22,20, ,L
23,23,20, ,L
24,24,20, ,L
25,25,20, ,L
26,26,20, ,L
27,27,20, ,L
28,28,20, ,L
29,29,20, ,L
30,30,30,30,R
31,31,30, ,R
32,32,30, ,R
33,33,30, ,R
34,34,30, ,R
35,35,30, ,R
36,36,30, ,R
37,37,30, ,R
38,38,30, ,R
39,39,30, ,R
40,40,40,40,R
41,41,40, ,R
42,42,40, ,R
43,43,40, ,R
44,44,40, ,R
45,45,40, ,R
46,46,40, ,R
47,47,40, ,R
48,48,40, ,R
49,49,40, ,L
50,50,50,50,L
51,51,50, ,L
52,52,50, ,L
53,53,50, ,L
54,54,50, ,L
55,55,55,55,L