category,label,newroi,oldroi
1,MF,1,21
1,MF,2,28
1,MF,3,13
1,MF,4,9
1,MF,5,33
1,MF,6,48
2,FP,7,31
2,FP,8,29
2,FP,9,46
2,FP,10,25
2,FP,11,12
2,FP,12,44
2,FP,13,50
2,FP,14,47
2,FP,15,40
2,FP,16,54
2,FP,17,26
3,DMN,18,5
3,DMN,19,7
3,DMN,20,53
3,DMN,21,49
3,DMN,22,10
3,DMN,23,36
3,DMN,24,11
3,DMN,25,55
4,Mot,26,6
4,Mot,27,20
4,Mot,28,35
4,Mot,29,22
4,Mot,30,32
4,Mot,31,2
4,Mot,32,30
4,Mot,33,27
4,Mot,34,18
5,VI,35,1
5,VI,36,14
5,VI,37,8
5,VI,38,19
6,VII,39,16
6,VII,40,17
6,VII,41,3
7,VAs,42,42
7,VAs,43,24
7,VAs,44,41
7,VAs,45,34
7,VAs,46,4
8,SAL,47,15
8,SAL,48,45
8,SAL,49,37
8,SAL,50,39
9,SC,51,38
9,SC,52,43
10,CBL,53,23
10,CBL,54,52
10,CBL,55,51